UNITOFMEASID;UNITDESC
EU000002;hPa
EU000003;kvar
EU000004;lm/W
EU000006;DPI
EU000013;Bd
EU000015;dBµV
EU000016;kBps
EU000018;kVA
EU000020;W/m
EU000022;VA
EU000023;U/min
EU000025;mAh
EU000027;MB
EU000032;µH
EU000038;l/h
EU000041;kByte
EU000042;Mbyte
EU000043;kBit/s
EU000045;l/min
EU000050;Ah
EU000051;inch
EU000052;1/min
EU000053;kOhm
EU000054;µF
EU000055;AX
EU000056;nm
EU000057;Imp/kWh (kvarh)
EU000058;kW/24h
EU000059;Wp
EU570006;kg/m³
EU570011;J
EU570020;N
EU570028;Hz
EU570036;m
EU570039;kg
EU570054;W
EU570056;bar
EU570073;°C
EU570076;K
EU570079;V
EU570097;m²
EU570103;s
EU570104;Ohm
EU570106;lx
EU570108;lm
EU570109;cd
EU570121;cm²
EU570126;mm²
EU570169;ms
EU570170;kA
EU570174;mA
EU570193;kV
EU570199;mOhm
EU570200;Mohm
EU570223;GHz
EU570224;kHz
EU570225;MHz
EU570235;W/m²
EU570245;Nm
EU570254;kg/m
EU570257;cd/m²
EU570336;mbar
EU570376;m/s
EU570378;cm³
EU570380;ml
EU570382;%
EU570383;°
EU570387;c/h
EU570388;c/min
EU570399;cm
EU570403;l
EU570408;g
EU570410;h
EU570413;kg/h
EU570418;kW
EU570419;kWh
EU570422;min
EU570438;t
EU570442;ppm
EU570448;mm
EU570449;l/s
EU570451;m³/h
EU570459;A
EU570480;dB
EU570483;c (contacts)
EU570492;Pa
EU570499;µm
EU570502;Bit
EU570508;kN
EU570515;mV
EU570542;W/K
EU570555;dB(A)
EU570825;kg/24h
EU570942;Bft
EU571000;GB
EU571001;Mbps
EU571002;g/m²
EU571003;cm4
EU571004;dBi
EU571005;g/min
EU571007;kW/m²
EU571008;m/min
EU571022;mH
EU571023;%/100%
EU571026;dB(A) re 1 pW
EU571027;kWh/year
EU571028;AirWatt
EU571030;%/K
EU571047;mg
EU571048;MP
EU571049;kJ/Ohm
EU571050;m³/s
EU571051;kg/s
EU571052;Pa-s